iter	Logloss
154	0.4735286702
155	0.4734631608
156	0.4734162066
157	0.4733547595
158	0.4733068157
159	0.4732475541
160	0.4731780791
161	0.4731117616
162	0.4730692458
163	0.4730047908
164	0.4729526126
165	0.4728915519
166	0.4728348541
167	0.4727809411
168	0.4727033908
169	0.4726702557
170	0.4725670958
171	0.4724960115
172	0.4724367385
173	0.4724007759
174	0.4723383747
175	0.4722928618
176	0.4722654474
177	0.4722144029
178	0.472150126
179	0.4721021893
180	0.4720354358
181	0.4720043526
182	0.4719415305
183	0.4718793295
184	0.4718118109
185	0.4717419472
186	0.4717099483
187	0.4716674745
188	0.4715641646
189	0.471515375
190	0.471425776
191	0.4713404798
192	0.4712807564
193	0.4712333706
194	0.4711976871
195	0.4711519455
196	0.471126164
197	0.471077267
198	0.4710475699
199	0.471014982
200	0.4709682177
201	0.4709289611
202	0.4708730863
203	0.47082865
204	0.4707728132
205	0.4707078366
206	0.4706676715
207	0.4706129465
208	0.4705572389
209	0.4705113564
210	0.4704854144
211	0.4704542371
212	0.4704270229
213	0.4703778166
214	0.4703130793
215	0.4702710161
216	0.470230244
217	0.4701958208
218	0.4701621871
219	0.4701260489
220	0.4700711331
221	0.4700356539
222	0.469997193
223	0.4699454803
224	0.4699077008
225	0.4698511438
226	0.4698089773
227	0.4697597078
228	0.4697303083
229	0.469698611
230	0.4696626437
231	0.4696225196
232	0.4695767792
233	0.4695152492
234	0.4694827858
235	0.4694557686
236	0.469418478
237	0.4693854887
238	0.4693511783
239	0.4693111663
240	0.4692913841
241	0.4692475629
242	0.4692264414
243	0.4691867954
244	0.4691727707
245	0.4691499256
246	0.4691133265
247	0.4690913328
248	0.4690639343
249	0.469044144
250	0.4690104744
251	0.4689900083
252	0.4689259311
253	0.4688619394
254	0.4688206887
255	0.4687745223
256	0.4687446801
257	0.4687187155
258	0.4686861089
259	0.468643206
260	0.4686193119
261	0.468579908
262	0.4685516688
263	0.4685262331
264	0.4685116859
265	0.4684964008
266	0.4684718538
267	0.4684400398
268	0.4684214487
269	0.4683874418
270	0.4683608129
271	0.4683363093
272	0.4683088757
273	0.4682502945
274	0.4682214849
275	0.4682093276
276	0.4681524056
277	0.4681350377
278	0.4680850646
279	0.4680646257
280	0.4680348204
281	0.4680075768
282	0.4679872846
283	0.4679645858
284	0.4679475273
285	0.4679223272
286	0.4678632756
287	0.4678354496
288	0.4678029562
289	0.4677656968
290	0.4677385225
291	0.4677114066
292	0.4676554286
293	0.4676329646
294	0.4675880191
295	0.4675578635
296	0.4675006313
297	0.4674730835
298	0.4674602129
299	0.4674377099
300	0.4674082731
301	0.4673820564
302	0.4673616377
303	0.4673348937
304	0.4673075824
305	0.4672528477
306	0.4672158675
307	0.4671927613
308	0.4671761875
309	0.4671261137
310	0.4670989725
311	0.4670829038
312	0.4670561497
313	0.4670367654
314	0.4670140872
315	0.4669818691
316	0.4669645942
317	0.4669212052
318	0.466893715
319	0.4668576607
320	0.4668300975
321	0.4668106394
322	0.466791795
323	0.466757026
324	0.4667293571
325	0.4666809326
326	0.4666561768
327	0.4666427449
328	0.4666125124
329	0.4665825039
330	0.4665626141
331	0.466543579
332	0.4665295757
333	0.4665127641
334	0.4664893998
335	0.4664706675
336	0.4664424633
337	0.466419962
338	0.4663885616
339	0.4663696433
340	0.4663543304
341	0.4663265299
342	0.4662976136
343	0.466260123
344	0.4662404292
345	0.4662160481
346	0.4662067537
347	0.4661904963
348	0.4661653457
349	0.4661296739
350	0.4661200744
351	0.4661008725
352	0.4660836296
353	0.4660701746
354	0.466047797
355	0.4660428637
356	0.4660266701
357	0.4660133712
358	0.4659969529
359	0.4659819991
360	0.4659669913
361	0.4659515477
362	0.4659267558
363	0.4658957394
364	0.4658677307
365	0.4658512541
366	0.4658308076
367	0.4658036889
368	0.4657871725
369	0.4657599143
370	0.4657497106
371	0.4657318972
372	0.4657026496
373	0.4656907433
374	0.4656773141
375	0.4656501611
376	0.4656338693
377	0.4656119234
378	0.4656036481
379	0.4655865063
380	0.4655580052
381	0.4655311662
382	0.4655148446
383	0.4654929356
384	0.4654708348
385	0.4654523102
386	0.4654391211
387	0.4654246513
388	0.4654055253
389	0.4653968523
390	0.4653913809
391	0.4653685966
392	0.4653561044
393	0.4653338577
394	0.4653225253
395	0.4653123723
396	0.4653063008
397	0.4652933694
398	0.4652843246
399	0.4652756009
400	0.465257225
401	0.4652351323
402	0.4652266253
403	0.4652120591
404	0.4651996862
405	0.4651788632
406	0.4651703524
407	0.4651419088
408	0.4651218423
409	0.4651045593
