iter	Logloss
0	0.6568858109
1	0.6284565661
2	0.6062321479
3	0.5878614329
4	0.5732851241
5	0.5620422413
6	0.551721605
7	0.54338103
8	0.5370256202
9	0.5313987104
10	0.5268102753
11	0.5230048632
12	0.5198089789
13	0.5170128352
14	0.5145845311
15	0.5117463862
16	0.5095971341
17	0.5077331323
18	0.5060477384
19	0.5043700858
20	0.5031955212
21	0.5019236549
22	0.5007144029
23	0.4995251699
24	0.4985764628
25	0.4975415465
26	0.4966868478
27	0.4959767423
28	0.4951085633
29	0.4944649595
30	0.4938761412
31	0.4933795163
32	0.4929774757
33	0.4921920393
34	0.4917262481
35	0.4912961902
36	0.4906338822
37	0.4902694571
38	0.489966814
39	0.4895233457
40	0.4889371771
41	0.4885957937
42	0.4880796725
43	0.4877281035
44	0.4874040747
45	0.4869133671
46	0.4865810422
47	0.4863698837
48	0.4859599147
49	0.4857509735
50	0.4855051753
51	0.4853144121
52	0.4849664533
53	0.4846030913
54	0.4843962867
55	0.4842010781
56	0.4840550018
57	0.4838815999
58	0.4837014943
59	0.4833803751
60	0.4831394074
61	0.4829086245
62	0.4827934775
63	0.4826527445
64	0.4823866734
65	0.4822871975
66	0.4821042164
67	0.4818422267
68	0.4817105239
69	0.4815068301
70	0.4813430416
71	0.4811890729
72	0.4811078215
73	0.4809820867
74	0.4808898073
75	0.4806855439
76	0.480595502
77	0.4804889426
78	0.480313584
79	0.4801861002
80	0.4800506616
81	0.4799535312
82	0.4798825107
83	0.4798030869
84	0.4796185527
85	0.4795135562
86	0.4793560391
87	0.4793164438
88	0.4792084647
89	0.4791263687
90	0.47898303
91	0.4787956239
92	0.4786659876
93	0.4784013926
94	0.4783010252
95	0.4781972519
96	0.4781114729
97	0.4780091611
98	0.4778977307
99	0.4777850184
100	0.4776316683
101	0.4775290796
102	0.4773593233
103	0.4772800162
104	0.4771530178
105	0.4769381994
106	0.4768354032
107	0.4766731037
108	0.4765884984
109	0.4764828715
110	0.47639461
111	0.4763582534
112	0.4762687666
113	0.4761961265
114	0.4761204656
115	0.476029259
116	0.4759795576
117	0.4759389295
118	0.4758877191
119	0.475809664
120	0.4756926129
121	0.4755954364
122	0.4755466102
123	0.4754763785
124	0.4754223573
125	0.4753672748
126	0.4752934823
127	0.4752355485
128	0.4751699557
129	0.4751229334
130	0.4750552107
131	0.4749845379
132	0.4749154368
133	0.4748142403
134	0.474767982
135	0.4747170813
136	0.4746199539
137	0.4745814153
138	0.4745215499
139	0.474481946
140	0.4744242171
141	0.4743601366
142	0.4742689791
143	0.4741522026
144	0.4741214511
145	0.4740609938
146	0.474001145
147	0.4739306619
148	0.4738716988
149	0.47382086
150	0.473785474
151	0.473713064
152	0.4736485078
153	0.4735892658
